autor,link,chiste,manitas
ch3ris,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#37,"
										Que hace un vampiro montado en un tractor?

--------

------------

-----------------

Sembrar el terror.. 

DIOS XDDDDDDDDDDDDDDDDDDDDDDDDDDD

jajajjajajajaajajajajajajajaj

hacia tiempo que no me reia tanto con un chiste xDDD

PD: me encantan los chistes malos									",0
DarkDog,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#38,"
										
  creo q te ries tu solo									",0
GaNDaLFViTi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#39,"
										Mamá mamá en el colegio me llaman friki!

¿Y tú que haces hijo?

Me resto 20 puntos a carisma.									",0
frostttt,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#61,"
										Por que los leperos hacen las ventanas del salon redondas?

- Para que entre el sol.

jejejeje									",0
CaNuT0BrUt0,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#40,"
										juaaas juas juas.

Van dos en un ascensor, y se para quedandose a oscuras y se oye un peo. 

Cuando vuelve la luz tio2 esta señalando a tio1.

Dice tio1: -¡No no e sido yo!. 

A esto que contesta tio2: PÁ TII									",0
Carranco,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#41,"
										Arriba las velas!!!!

y abajo se quedaron sin luz .. xDD que malo joder jajaa

Abordar el barco, y el barco quedo precioso xDDD

Fuego a discrepcion,  y discrepcion callo muerto

Comed sin ansia, y ansia quedo sola xDDD

y como estos habia mial a cada cual mas malo, pero hacian gracia xD									",0
Spank,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#42,"
										
 

grandisimo xDD									",0
apolilla,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#43,"
										¿En qué se parecen las ramas de un árbol a las vías de un tren?.

En que ninguno de los dos bebe gazpacho.

- Mamá, mamá me pasas las galletas?

- Cógelas tú, hijo.

- PERO MAMÁ, si no tengo brazos!

- Ahhh no hay brazos, no hay galletas...									",0
banga,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#44,"
										vandal 2.0									",0
LimS,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#45,"
										Mamá mamá en el colegio me llaman loco

- Quien te dice eso?

Las hormiguitas -.-

Mamá mamá que papá se va a tirar por el balcón !!!

-Anda niña dile que le he puesto 2 cuernos no 2 alas.

Esto va un tio en un baile y le dice a 1 xika : Bailas?

- La miel no esta hecha para la boca de los asnos

Te he dicho que si bailas no que me la chupes",0
iRidiuM,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#46,"
										no hay mas que ver este video para saber lo que es un chiste malo.

pero yo me parto el culo de risa JAJAJAJAJAJ
									",0
nadions,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#47,"
										Esto va un tio y se sienta encima de un hacha

¿Te ha hecho gracia?

Pues el tio se partio el culo

j3									",0
RePuWoMaN,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#48,"
										
  Esos me encantan, me meo sola de risa, que triste xDDD

Se abre el telon y se ven 2 mandos gigantes.

¿Cómo se llama la película?",0
KoD-Battle,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#62,"
										- Esta agustin?

-no estoy incomodin

--------------------------------------

dos chinos en la luna de miel y le dice el chico:

-Hoy por ser nuestra luna de miel te voy a hacer lo que quieras

Entonces la chica le responde:

-Un 69

Y dice el chino:

-Hombre,ahora un chop-suey de gambas en nuestra luna de miel...",0
Redjack,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#63,"
										Esto es un tio que entra en un bar de pinxos:

- Ay, Ay, Ay, Ay, Ay.

FIN									",0
RePuWoMaN,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#64,"
										
  xDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD

Jajajajaj, he tardado 3 segundos en entenderlo pero ahora me meo! que malooooooooo",0
Redjack,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#65,"
										Se abre el telon y aparece un tio tropezandose, se cierra el telon. ¿Como se llama el actor?

Sinverestescalon

Se abre el telon y aparecen 10 niñas vestidas de blanco y la primera sin una mano. ¿Como se llama el santo sacramento?

Laprimeraconmuñon

Fin.									",0
KoD-Battle,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#66,"
										Se sube el telon y aparece un gitano, se baja el telo, desaparece el telon.									",0
Spank,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#67,"
										
 

es que de lo malo que es te tienes que reir xD									",0
sheva7,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#68,"
										xistes k triunfan cuando vamos borraxos:

-Van dos tomates x la carretera y dice uno:

Viene un ¡¡PLAAF!!

ke???¡¡PLAAF!!

-Estan dos tomates en una nevera y le dice uno a otro:

¡¡OSTIAS K FRIO NO!!??

y dice el 2º

COÑO UN TOMATE K HABLA!! 

pd: Plaaf=ruido de tomate aplastao, cada uno el suyo propio

pd2:he dixo kuando vas borraxo!!									",0
Spank,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#69,"
										Estas mas agobiado que un teletubbie en una sala de velcro									",0
nixonE1,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#70,"
										
  me ha matado!!!! xDDDDDDDDDD

voy a dormir.									",0
An3Lk4,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#71,"
										paciente: doctor, osculteme

doctor: rapido al armario!									",0
Fyn4r,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#49,"
										Se abre el telon y se ven un croupier y un niño diciendole: quiero jugar al poker, quiero jugar al poker,quiero jugar al poker,quiero jugar al poker,quiero jugar al poker,quiero jugar al poker,

como se llama la pelicula??

------

-------

------

Cansino

P.D no se poner spoilers XDDDD									",0
pillow3,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#50,"
										va un caracol y derrapa

comeros el bocadillo de tortilla.. y tortilla se quedo sin bocadillo									",0
Kails,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#51,"
										Sabeis por que swachenagger es rodilla??

Por que silverster estalon

========================

Se abre el telon se ve un cine lleno de gitanos, y la ultima fila llena de nacionales

Como se llama la pelicula??

Lo ultimo sumurais 

(El ultimo samurai xD )									",0
PUTO_JEFE,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#72,"
										Esto es un indio que se cae del caballo y se acerca otro indio y le dice :

-How, ojo de aguila ¿te has caido del caballo?

-No lo ves, Ojo de puta!!

xDDDDD									",0
granaino127,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#73,"
										/\

||

||

||

Que cosa..... juazz... te llebas el premio tio...

Chapita para el jefe !!									",0
ReYzell,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#74,"
										sube el telon y aparece una carniceria que pone ¡OFERTA! con un codillo una botella de dic

se cierra el telon.

como se llama la pelicula?
									",0
ch3ris,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#75,"
										aparece un tio con una botella de whisky en la mano derecha y una galleta en la mano izquiera , como se llama la pelicula?

el hombre que bebe whisky y come galletas.

salu2									",0
potokuz,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#77,"
										este si no se cuenta hablado no tiene gracia pero... y tampoco es un chiste es una frase :\

'GUAPA!!! GUAPA!!!!!!!!! GUAPARTAS O NO VEO!!!!'

edit:

Se abre el telón y se ve que van Frodo y Sam por el bosque y dice Sam:

- Frodo... creo que huele a orco...

Y contesta Frodo:

- Sí, es verdad, huele a orco...

Se cierra el telón, se abre otra vez y aparecen Frodo y Sam por tierras de elfos y dice Sam:

- Frodo, creo que huele a elfo!

Y contesta Frodo:

- Sí, es verdad, huele a elfo...

Se cierra otra vez el telón, se vuelve a abrir y aparecen Frodo y Sam al lado de una monstruosa mierda y dice Sam:

- Frodo, creo que huele... a mierda!!

Y contesta Frodo:

- Sí, es verdad, huele a mierda...

Se cierra el telón, qué jugador de fútbol aparece en esta obra?

""SamHuel Eto'o""
									",0
Mandarino,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#79,"
										esto es un pavo que entra en un bar y dice agluglugluglgulguglugu

------------------------

Se abre el telón y se ve a Paca usando la aspiradora comedor. Cuando termina de limpiar la desenchufa y se electrocuta.

Como se llama la pelicula?

----------------------

Se abre el telón y se ve a Kiko en un partido de futbol a punto de chutar un penalti. Antes de chutar, kiko dice:

-Juro que marcaré este gol! si no lo marco donaré todo mi dinero, mi casa, mis hijos y todo al gobierno!

chuta y falla...

titulo de la pelicula?
									",0
TabrisEchoes,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#52,"
										Está un loco por la calle tirando sal:

-Oiga señor, por qué tira sal por la calle?

-Para que no nos ataquen los cocodrilos

-Pero si aquí no hay cocodrilos!

-Porque tiro sal

Un loco a otro:

-A que no adivinas que tengo en la mano escondida a mi espalda?

-Un autobús!

-No vale tío! Has mirado!									",0
Nm,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#53,"
										se abre el telon

aparece Juan Tamariz y un Alien

Juan Tamariz hace un truco de magia y cuando termina (ÑAÑAÑAÑAÑAAAAA) el Alien empieza a balar (BEEEEE BEEEEE).

se cierra el telon

como se llama la pelicula?

Alien balo sorprendido del truco									",0
KyOshA,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#54,"
										- Mama mama , que hay de comer?

- mierda con patatas!

- Ecs!!!!! patatas?????									",0
CHoTeRo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#55,"
										se levanta el telón y aparece un ángulo de 36º en mitad del desierto. el ángulo dice: ""que aparezca un oasis"" e inmediatamente aparece un oasis. cómo se llama la película?
									",0
oOL4sTOo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#56,"
										Tomad surtido

Este es un chiste de cuando Budo y PePo eran pequeños... 

PePo: Mamá, mamá, el pito de Budo es como un cacahuete... 

Madre: ¿Cómo?¿Pequeñito? 

PePo: No, saladito...

---------------------

Esto es Jaimito  que esta en clase montando un barullo tremendo y se le acerca la monja y dándole en la nariz le dice 

- Jaimito a los niños malos se le como el CoCo 

y Jaimito responde ...

- y a las monjas que no foyan les huele el DeDo!

----------

-¿Por que los de lepes se pegan un peo en la puerta de su casa?

 para echar el pestillo

 Doctor, cada vez que me tomo un café con leche

me duele el ojo derecho.

- Quita la cucharilla de la taza, Manolo.

¿Como se sabe cuál es el avión lepero

cuando se acerca la tormenta de nieve ?

-El que tiene las cadenas en las hélice

Porqué los leperos ponen la TV al revés?

- Para verle las bragas a la del Telediario 									",0
g0tO,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#80,"
										En una discoteca->

Chico: Bailas?

Chica: No

Chico: y eso?

Chica: Eso es mi amiga y tampoco baila

XD

otra versión

Chico: Bailas?

Chica: No

Chico: y eso?

Chica: Eso es mi hermana y es paralítica									",0
Elitest,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#81,"
										Esto que van 7 ...

... y se cae el Octavio.									",0
SicKneSs,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#82,"
										esto va una canica y vuelca

: o									",0
PiTiFiNi,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#83,"
										Se abre el telon y se ve a un pitufo enseñando el culo, como se llama la pelicula?

Verano azul.

Que es un negro en la luna? Uno menos en la Tierra.

Que son mil negros en la luna? Un eclipse de luna.									",0
g0tO,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#84,"
										
  XDDDD no los conocia									",0
DyNo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#57,"
										-Comeos el bocata de chorizo, y chorizo se quedo sin bocadillo.

-Todos contra la pared, y la pared perdio.

-Tiraos a la piscina, y la piscina se quedo embarazada.									",0
KinachO,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/2#58,"
										Abordar el barcooo!!!!!!!!!!!!!!!!!!

Y el barco quedo precioso

Chutar a gol!!!!!!

Y Gol murio de sobredosis

Saludos!!									",0
-Crack-,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#85,"
										-Pepe sube!
									",0
Polakoooo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#86,"
										
									",0
PUTO_JEFE,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#87,"
										VA un zorro inglés por el desierto, y se tropieza con un camello, y dice el zorro :

-I´m sorry

y el camello le contesta :

I´m cameyei

ESto es uno que entra en una farmacia inglesa y dice

-Hay ampollas?

-Hello, Mr.Pollas									",0
SgtOpio,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#89,"
										Leído no tiene mucho sentido, pero allá va xD.

En qué se parece una diligencia a una silla??
									",0
SicKneSs,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/3#90,"
										-Hola está Juán ??

-No, pero tengo una bici									",0
HG_Tevez,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7471,"
										
  para ti 

BAN!									",1
AlexGc,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7472,"
										
  Mete otro rápido o muere.									",0
kasuno1,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7473,"
										
  ",0
kilersk3,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7474,"
										-Cariño, te estaño mucho

 -qué dices??? creo que el cursillo de bricolaje te está afectando...

 -No digas estanterías...

 -Fuera de mi casa!

 -LOS CAJONES!!									",1
HG_Tevez,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7475,"
										+Ayer me cepillé a una Americana 

—¿Tenía pelusa?

+No me has entendido 

—No, tú no me has entendido a mi.									",1
trobo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7476,"
										- dimelo! 

+ melo 

- no! , que me digas lo que tenias que decirme 

+ lo que tenias quee decirme 

- ¿eres tonto o dibujas pollas? 

+ bujas pollas.									",1
denon,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7477,"
										- Juan me comprado un perro que no tiene patas

+ Y entonces como le llamas?

- Para que lo voy a llamar si no va venir el hijoputa									",1
Neil-chan,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7478,"
										
  

- Tengo un perro que no tiene nariz.

+ ¿Y cómo huele?

- Fatal.									",1
denon,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7479,"
										Eres tan guarra ke te pones de rodillas pa komer un calippo jajajajajajaja									",1
Prozacks,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7480,"
										va timon y PUMBA!									",1
Eustakiooo,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7481,"
										- Tío, me compré un cerdo y lo tengo metido en mi habitación

- ¿Y no huele mal?

- Bueno pues que se joda no? XD									",1
Grimmer8,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7482,"
										Un caminante por el campo , se encuentra a un pastor con un rebaño de ovejas.

 Y le pregunta al pastor:

 - Oiga buen amigo , dan mucha lana las ovejas?

 - Cuales las blancas o las negras?.... el caminante sorprendido le dice:

 - Pues las blancas.

 - Unos 7 kilos de lana por temporada.

 - Y las negras?

 - También , también.

 - Y dan mucha leche las ovejas?

 - Cuales las blancas o las negras?.

 - Pues las blancas.

 - Unos tres litros por semana .

 - Y las negras?

 - También , también.

 ...el caminante bastante enfadado le dice:

 - Pero oiga , porque cuando le pregunto algo sobre las ovejas me dice las blancas o las negras?

 - Hombre , es que las blancas son mías .

 - Ahhhh y las negras?

 - También , también.									",1
TicTaK,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7483,"
										- Joder papa vaya rollo de pelicula, siempre estan los mismos actores...

- Joder tu cuando vas a la fruteria esperas un frutero nuevo cada dia? que quieres que los echen joder?

-----------------------------------------------------------------------------

- oye romario que haces?

- estoy echando sal en el camino

- y para que echas sal?

- joder para que no vengan los cocodrilos...

- pero si aqui no hay cocodrilos!

- normal, porque echo sal									",1
Ne0x,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7484,"
										Un hombre tiene un accidente con la moto y un hombre va a socorrerlo:

-está bien?

+llame al samu por favor, creo que tengo una pierna rota

- SAMUUUUUUUUU VEN QUE TU COLEGUITA SE HA PEGADO UNA HOSTIA.									",1
Tekitapas,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7485,"
										Esto es un hombre que es de profesión bombero. La oposición fue complicada de aprobar. Aunque inteligente y con muy buena forma física consiguió la plaza a la octava convocatoria. Pues bien, por el aniversario de su entrada en el Cuerpo de Bomberos de Burgos decide celebrarlo con un par de putas lujo. Se pone en contacto con una agencia de contactos para que acudan a su casa y se presentan por la tarde una rubia y una morena en plan portada de FHM. Tremendas!!! Comienza la acción y se pasan horas y horas follando y gozando la marrana.  Se lo pasan pipa y sudan como cerdos. De repente una de las putas pregunta si Juan, así se llama el bombero, tiene algo de comer. Al ir a la nevera se percata que la luz se ha ido y toda la comida se ha hecho mala, así que deciden llamar por teléfono a algún restaurante con reparto a domicilio para que les lleven algo de comer, pero el teléfono es inalámbrico, y claro al irse la luz se ha quedado sin batería. Los móviles de las putas estaban sin cobertura debido a que una tormenta había derribado la antena telefónica del barrio hacía una semana. Juan se había dejado el suyo en la taquilla de la estación de bomberos. Así que bajaron a una famosa pizzería anunciada en televisión. Allí pidieron pasta pero no tenían. Las putas cambiaron el pedido por unas ensaladas con un helado Häagen-Dazs de los de oferta, pero tampoco tenían ya que unos vegetarianos se las habían llevado todas. Helados sí, pero claro, no iban a comer colo helado. Así que tuvieron que pedir dos pizzas, con masa fina. Una cuatro quesos y la otra barbacoa. El dependiente, un hombre muy amable, cuyo padre había muerto el año anterior en el terremoto de Lorca dejando tras de sí una deuda millonaria a sus hijos por una mala inversión y el cual tenía un problema con el peso debido a una fuerte depresión pregunta ""Familiares?"" a lo que Juan el bombero responde ""No, son putas, pero tienen hambre"". Así que Juan y las putas pudieron comer pizza, helado y BAN!!!									",1
nDrw,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7486,"
										ajajajajajaja									",0
k-baYero,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7487,"
										-que es grande, redondo y odia a los moros?

- el mundo

_________________________________________

-por que los moros huelen mal?

- para que los ciegos tambien puedan odiarlos									",1
Tekitapas,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7488,"
										- Mamá, mamá en el colegio me llaman Lady Gaga!!!

- Quien te ha dicho eso hija mÍa?

- Alejandro ale ale jandroo...

..........

- Mamá, mamá, en el colegio me dicen que estoy loco!!!

- Quien te ha dicho eso hijo mio?

- La pizarra.

..........

- Oye, a ti te gustan las matemáticas?

- Más o menos, por?

..........

Dos amigos de pueblo en una tienda de deportes le dice uno al otro: 

- Pero que haces hablandole a la zapatilla?

- Es que aquí pone converse...

..........

- Oye, tu abuela es mecanica?

- No por que?

- Porque la he visto en la autopista debajo de un camion.

..........

- Mamá, a quíen le está sacando la lengua papá?

- Hijo a los que le ahorcaron, a los que le ahorcaron.

..........

Esto es una pareja que alquilan un piso para ir a echar un polvo y cuando ya acaban le dice la chica al chico:

- Manolo yo tengo el SIDA y otras muchas enfermedades y te las acabo de pegar todas.

- Pues eso no es na, ya que yo tengo la lepra y te he dejado la polla dentro.

..........

- Doctor, qué me dijo que era, piscis, acuario...?

- No señora. Es cáncer.

..........

- A mi me gustan recien muertas, porque estan todavia calentitas. 

- Yo las prefiero al cabo de un par de dias, cuando tienen el rigor mortis.

- Pues a mi me gustan mas al cabo de un mes que las puedo penetrar por donde me de la gana...

..........

- Qué hace una mujer en una bañera llena de sangre?

- Masturbarse con una batidora.

..........

- Qué hacen mil tetraplegicos en una piscina?

- Una sopa vegetal.

..........

Está la madre con su hijo parapléjico y le dice:

- Hijo toma esta crema y al cabo de 20 minutos podrás caminar.

- Uuuyyy que pasada poder caminar. Por fin una cura!!!

- Si hijo si...

- Pero te imaginas yo corriendo?

- Si hijo si...

- Pero te imaginas que juege al futbol? Que guay será poder jugar!!!

- Si hijo...

Quedan 3 minutos y el niño sigue entusiasmado:

- Mamá en tres minutos voy a poder correr con los otros niños.

- Si hijo si. Correrás con los otros niños.

Ahora son 20 segundos y el niño llora de alegría:

- Mira mami quedan 20 segundos y estoy muy feliz porque voy a poder jugar, correr y hacer todo lo que hacen los niños...

Pasan los 20 segundos...

- Heeee!!! Mamá ya pasaron los 20 segundos!!! Por qué no puedo caminar?

Su madre le pone el brazo en el hombro y dice:

- ""FELIZ DIA DE LOS INOCENTES!!!"".									",1
Lokario,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7489,"
										Que basto el ultimo vaya tela									",1
Mirtor,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/249#7441,"
										Llegan un marroquí y su hijo a España. Al hijo le gusta mucho España y se esfuerza por aprender nuestras costumbres, idioma, etc... Un día en el instituto le dice al tutor:

-Profe, yo quiero ser español

-¿Y yo qué quieres que le haga?

-No sé, que me ayudes o algo

-Mira, tengo una idea, como ya llevas un tiempo aquí, mañana vamos a sacarte los papeles.

Al día siguiente van y se los dan, cuando llega a su casa, le dice al padre:

-Mira papá, ¡ya soy español!

(HOSTIA MONUMENTAL DEL PADRE)

-Joder, ni una hora siendo español y ya he tenido problemas con los putos moros de mierda.									",1
Ew0k,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7490,"
										-Rihanna está embarazada. 

-Pobrecilla. 

-¿Por qué? 

-Tiene un negro por venir
  
									",0
iZueL,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7491,"
										
  quien es Rihanna  ??									",0
guitex96,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7492,"
										
  es una con el pelo largo rapado por un lateral y gafas enormes

OH WAIT ese es skrillex									",1
iZueL,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7493,"
										
  Nah, Skrillex no tiene la mala suerte de ser mujer y negro ",1
ChaRuu,http://www.mediavida.com/foro/90/chistes-malisisisimos-313416/250#7494,"
										
  jajajajjajajajajja el puto gif hajajjajajaj									",0
